name,sn_type,redshift,mult_sn_flag,galaxy_name,position_flag,morph_type,t_type,inclination,position_angle,redshift_flag,galaxy_app_mag_flag,galaxy_app_mag,log_diameter,class
SN 1965J,,,,NGC1310,,SBc,5.1,40,95,,,12.57,1.28,SUPERNOVA
SN 1982T,,,,A064030-3703,G,,,,,,,,,SUPERNOVA
SN 1983Z,,,,NGC7418,G,SBc,5.8,46,139,,,11.72,1.57,SUPERNOVA
SN 1992at,Ia,,,A212709-3659,,SB,,,,,,,,SUPERNOVA TYPE I
SN 2010gu,,,,A221923-3658,,,,,,,,,,SUPERNOVA
SN 2007X,II,,,E385-G32,,Sc:,4.8,54,128,,,13.38,1.34,SUPERNOVA TYPE II
SN 2012Q,Ic,,,E366-G18,,Sb,2.8,77,49,,,15.99,1.06,SUPERNOVA TYPE I
SN 1999ex,Ib,,Y,IC5179,,Sbc,4,61,57,,,12.38,1.37,SUPERNOVA TYPE I
SN 1999ee,Ia,,Y,IC5179,,Sbc,4,61,57,,,12.38,1.37,SUPERNOVA TYPE I
SN 2007oc,II P,,Y,NGC7418A,,Scd,7,60,83,,,13.85,1.54,SUPERNOVA TYPE II
SN 1983M,,,Y,NGC7418A,,Scd,7,60,83,,,13.85,1.54,SUPERNOVA
SN 2006av,,,,E356-G22,,SBc,5,51,152,,,13.12,1.32,SUPERNOVA
SN 1980M,,,,A063857-3641,G,,,,,,,,,SUPERNOVA
SN 2012bb,II P,,,M-06-27-15,,SBc:,5,69,76,,,14.44,1.21,SUPERNOVA TYPE II
SN 2011jl,Ic,,,NGC3354,,Sc,5.2,36,169,,,13.72,0.91,SUPERNOVA TYPE I
SN 2001gi,Ia,0.2,,A042807-3621,,,,,,,,,,SUPERNOVA TYPE I
SN 2004ae,II,0.48,,A042817-3618,,,,,,,,,,SUPERNOVA TYPE II
SN 1969A,,,,NGC1369,G,S0/a,0.1,28,12,,,13.64,1.2,SUPERNOVA
SN 2012R,II P,,,E385-G12,,SBc,5,52,138,,,14.47,1.12,SUPERNOVA TYPE II
SN 1983V,Ic,,Y,NGC1365,,SBb,3.2,58,32,,,10.35,2.04,SUPERNOVA TYPE I
SN 2001du,II P,,Y,NGC1365,,SBb,3.2,58,32,,,10.35,2.04,SUPERNOVA TYPE II
SN 1957C,,,Y,NGC1365,G,SBb,3.2,58,32,,,10.35,2.04,SUPERNOVA
SN 2012fr,Ia,,Y,NGC1365,,SBb,3.2,58,32,,,10.35,2.04,SUPERNOVA TYPE I
SN 2009dt,Ic,,,IC5169,,S0/a,-1.2,65,22,,,13.8,1.4,SUPERNOVA TYPE I
SN 2015ao,Ia pec,,,E354-G03,,E/S0,-2.9,47,171,,,14.31,1.21,SUPERNOVA TYPE I
SN 1993L,Ia,,,IC5270,,SBc,5.8,85,103,,,12.91,1.51,SUPERNOVA TYPE I
SN 1999ao,Ia,,,A062726-3550,,,,,,,,,,SUPERNOVA TYPE I
SN 1982G,,,,A132130-3548,G,,,,,,,,,SUPERNOVA
SN 1998O,,,,A133934-3546,,,,,,,,,,SUPERNOVA
SN 2002bq,,,,M-06-21-10,,Sc,5,21,93,,,13.02,1.46,SUPERNOVA
SN 2010hx,Ia,,,NGC3258,,E1,-5,,75,,,12.49,1.46,SUPERNOVA TYPE I
SN 2011iv,Ia,,Y,NGC1404,,E1,-5,,163,,,10.97,1.52,SUPERNOVA TYPE I
SN 2006th,II,0.14,,A232900-0854,,,,,,,,,,SUPERNOVA TYPE II
SN 2007on,Ia,,Y,NGC1404,,E1,-5,,163,,,10.97,1.52,SUPERNOVA TYPE I
SN 1981I,,,,E356-G20,G,Sab,2,52,40,,,14.51,1.14,SUPERNOVA
SN 2009nb,II P,,,A102804-3530,,,,,,,,,,SUPERNOVA TYPE II
SN 1993ag,Ia,,,A100335-3527,,E/S0,,,,,,,,SUPERNOVA TYPE I
SN 1998P,,,,A133717-3527,,,,,,,,,,SUPERNOVA
SN 1996S,II,0.11,,A112511-3526,,,,,,,,,,SUPERNOVA TYPE II
SN 2009kl,II P,,,IC2548,,SBb,2.8,27,65,,,13.97,1.29,SUPERNOVA TYPE II
SN 2008ik,Ic,,,A033609-3513,,,,,,,,,,SUPERNOVA TYPE I
SN 1992aj,II,,,A234748-3511,G,S,,,,,,,,SUPERNOVA TYPE II
SN 1998cw,Ia,,,A225619-3509,,,,,,,,,,SUPERNOVA TYPE I
SN 1970N,,,,NGC 365,G,SBbc,4.1,54,5,,,14.33,0.99,SUPERNOVA
SN 1992A,Ia,,,NGC1380,,S0,-1.9,61,7,,,10.87,1.68,SUPERNOVA TYPE I
SN 2010bt,IIn,,,NGC7130,,Sa pec,1,24,,,,12.93,1.18,SUPERNOVA TYPE II
SN 1982Q,,,,A023212-3449,G,,,,,,,,,SUPERNOVA
SN 2011fo,II,,,E400-G33,,Sb,3.4,72,34,,,14.9,1.08,SUPERNOVA TYPE II
SN 2014cc,Ia,,,NGC2255,,Sc:,4.5,61,152,,,14.13,1.18,SUPERNOVA TYPE I
SN 2008il,II,,,E355-G04,,SBb,3,46,128,,,14.71,1.11,SUPERNOVA TYPE II
SN 1992bq,,,,A101654-3445,G,S,,,,,,,,SUPERNOVA
SN 2013du,II P,,,M-06-04-23,,SBab pec,2.2,39,,,,14.07,1.19,SUPERNOVA TYPE II
SN 2004eq,Ia,,,E404-G12,,Sc:,4.8,37,140,,,12.97,1.36,SUPERNOVA TYPE I
SN 2010ma,Ic,0.55,,A004855-3433,,,,,,,,,,SUPERNOVA TYPE I
SN 2010ac,Ic,,,IC4352,,Sab:,2,66,88,,,13.56,1.25,SUPERNOVA TYPE I
SN 1993B,Ia,,,A103451-3426,,SBb,,,,,,,,SUPERNOVA TYPE I
SN 2013fd,II P,,,E353-G14,,Sab:,2,77,164,,,14.4,1.23,SUPERNOVA TYPE II
SN 2011hu,Ia pec,,,E365-G29,,S0,-1.7,58,140,,,14.81,1.01,SUPERNOVA TYPE I
SN 2013E,Ia,,,IC2532,,SBa,1.1,36,38,,,13.96,1.2,SUPERNOVA TYPE I
SN 2010F,II P,,Y,NGC3120,,Sbc:,3.7,45,1,,,13.52,1.25,SUPERNOVA TYPE II
SN 1992bo,Ia,,,E352-G57,,S0/a,-1.5,90,12,,,15.02,1.13,SUPERNOVA TYPE I
SN 1999ca,II,,Y,NGC3120,,Sbc:,3.7,45,1,,,13.52,1.25,SUPERNOVA TYPE II
SN 1997cv,?,,,E383-G31,,Sbc:,4.5,61,83,,,14.4,1.08,SUPERNOVA
SN 2004ip,II?,,,IRAS18293-3413,,S?,,50,120,,,15.63,0.91,SUPERNOVA TYPE II
SN 2000ca,Ia,,,E383-G32,,Sbc:,4.5,46,108,,,15.17,0.94,SUPERNOVA TYPE I
SN 2014X,Ia,,,E379-G31,,Sab,1.5,29,157,,,14.38,1.05,SUPERNOVA TYPE I
SN 2006ds,II,,,PGC0070011,,Sa,1.2,36,39,,,15.93,0.75,SUPERNOVA TYPE II
SN 1994ah,Ia,,,E356-G19,,Sa,1,90,74,,,15.55,1.06,SUPERNOVA TYPE I
SN 2011jo,II P,,,NGC  10,,Sbc,3.6,60,25,,,13.28,1.38,SUPERNOVA TYPE II
SN 1997cz,?,,,A133709-3347,,,,,,,,,,SUPERNOVA
SN 2011gz,Ia,,,A003746-3339,,,,,,,,,,SUPERNOVA TYPE I
SN 1959A,,,,NGC1350,G,SBab,2,63,,,,11.15,1.75,SUPERNOVA
SN 2011bj,II P,,,A205224-3335,,,,,,,,,,SUPERNOVA TYPE II
SN 2012dw,Ia,,,A212235-3333,,,,,,:,,,,SUPERNOVA TYPE I
SN 1980G,,,,A133406-3330,G,,,,,,,,,SUPERNOVA
